campaign_id,campaign_date,campaign_topic,customer_segment,audience_size,target_description,control_group_size,sent,opens,clicks,conversions,open_rate,click_rate,open_to_click_rate,conversion_rate
194,2024-03-27,Fitness Gear Promo,Previous Customers,123621,Previous Customers,12298,111323,19691,4901,7769,17.69,4.4,24.89,6.98
195,2024-10-19,Loyalty Program,Parents 30-50,151465,Parents 30-50,10931,140534,21201,15624,6293,15.09,11.12,73.69,4.48
196,2024-06-02,Beta Testing Launch,Young Professionals 25-40,118466,Young Professionals 25-40,10715,107751,28615,10179,3155,26.56,9.45,35.57,2.93
197,2024-03-18,School Supplies Promo,Women 25-34,77385,Women 25-34,5896,71489,11655,7063,1112,16.3,9.88,60.6,1.56
198,2024-02-11,Brand Awareness,Shopaholics 25-44,179009,Shopaholics 25-44,13820,165189,40250,15539,6711,24.37,9.41,38.61,4.06
199,2024-05-10,Holiday Follow Up,Fitness Enthusiasts 18-40,188892,Fitness Enthusiasts 18-40,15065,173827,27585,16956,4996,15.87,9.75,61.47,2.87
200,2025-04-07,School Supplies Promo,Environment Advocates,189083,Environment Advocates,15930,173153,50565,6363,8658,29.2,3.68,12.58,5.0
201,2024-08-18,Sustainability Product Launch,Environment Advocates,162771,Environment Advocates,13790,148981,29851,12237,4304,20.04,8.21,40.99,2.89
202,2024-11-24,Fitness Gear Promo,Fitness Enthusiasts 18-40,186787,Fitness Enthusiasts 18-40,15352,171435,30240,6143,2779,17.64,3.58,20.31,1.62
203,2024-06-07,Major Shopping Event,Young Professionals 25-40,56950,Young Professionals 25-40,4633,52317,12837,4642,1764,24.54,8.87,36.16,3.37
204,2025-05-07,Clearance Sale,Women 25-34,107778,Women 25-34,7258,100520,23164,5178,1967,23.04,5.15,22.35,1.96
205,2025-07-14,Holiday Sales Event,Previous Customers,129083,Previous Customers,8040,121043,20728,11674,8143,17.12,9.64,56.32,6.73
206,2024-07-11,Seasonal Discount,Tech Enthusiasts 18-45,130162,Tech Enthusiasts 18-45,11370,118792,27777,14198,6304,23.38,11.95,51.11,5.31
207,2025-05-20,Sustainability Product Launch,Frequent Buyers 35-50,116106,Frequent Buyers 35-50,9175,106931,16431,5760,3833,15.37,5.39,35.06,3.59
208,2024-07-16,Holiday Sales Event,Young Professionals 25-40,159711,Young Professionals 25-40,15136,144575,28054,8310,5984,19.4,5.75,29.62,4.14
209,2024-09-14,Beta Testing Launch,Frequent Buyers 35-50,80857,Frequent Buyers 35-50,6204,74653,12897,7425,2957,17.28,9.95,57.57,3.96
210,2025-01-23,School Supplies Promo,Previous Customers,159460,Previous Customers,14404,145056,31913,9091,7398,22.0,6.27,28.49,5.1
211,2024-09-05,Holiday Sales Event,Young Adults 20-30,73769,Young Adults 20-30,5312,68457,20202,6856,3803,29.51,10.02,33.94,5.56
212,2025-07-29,Brand Awareness,Seniors 55+,187555,Seniors 55+,13483,174072,34067,18851,7558,19.57,10.83,55.34,4.34
213,2025-06-01,Loyalty Program,Tech Enthusiasts 18-45,145632,Tech Enthusiasts 18-45,12720,132912,37962,7971,2906,28.56,6.0,21.0,2.19
214,2024-12-24,Fitness Gear Promo,Parents 30-50,141478,Parents 30-50,12729,128749,29094,5866,1764,22.6,4.56,20.16,1.37
215,2024-12-10,Sustainability Product Launch,Tech Enthusiasts 18-45,161602,Tech Enthusiasts 18-45,9845,151757,31276,15744,3400,20.61,10.37,50.34,2.24
216,2024-02-01,Sustainability Product Launch,Shopaholics 25-44,61412,Shopaholics 25-44,3234,58178,13532,4710,2865,23.26,8.1,34.81,4.93
217,2025-06-12,Sustainability Product Launch,Young Professionals 25-40,185113,Young Professionals 25-40,11617,173496,43740,6227,10241,25.21,3.59,14.24,5.9
218,2024-10-26,New Product Launch,Women 25-34,153255,Women 25-34,9846,143409,23224,10881,3697,16.19,7.59,46.85,2.58
219,2024-06-04,Holiday Sales Event,Fitness Enthusiasts 18-40,134862,Fitness Enthusiasts 18-40,7343,127519,19438,8297,1249,15.24,6.51,42.68,0.98
220,2024-10-30,Sustainability Product Launch,Seniors 55+,151817,Seniors 55+,13111,138706,30663,9904,3508,22.11,7.14,32.3,2.53
221,2024-08-07,Sustainability Product Launch,General Audience,183988,General Audience,10947,173041,51342,8084,11312,29.67,4.67,15.75,6.54
222,2024-12-29,Brand Awareness,Parents 30-50,164455,Parents 30-50,12026,152429,26804,7477,6105,17.58,4.91,27.9,4.01
223,2024-06-28,Major Shopping Event,Women 25-34,128831,Women 25-34,6574,122257,21524,7212,7995,17.61,5.9,33.51,6.54
224,2024-07-19,Major Shopping Event,Fitness Enthusiasts 18-40,122124,Fitness Enthusiasts 18-40,11470,110654,22123,3819,6829,19.99,3.45,17.26,6.17
225,2024-12-25,School Supplies Promo,Environment Advocates,177717,Environment Advocates,10024,167693,31101,8587,1576,18.55,5.12,27.61,0.94
226,2024-08-07,Fitness Gear Promo,Seniors 55+,89537,Seniors 55+,5992,83545,24149,9074,3696,28.91,10.86,37.58,4.42
227,2025-06-08,Clearance Sale,Frequent Buyers 35-50,123962,Frequent Buyers 35-50,6257,117705,31821,7236,3987,27.04,6.15,22.74,3.39
228,2024-08-20,Holiday Follow Up,Environment Advocates,134748,Environment Advocates,9743,125005,30521,10725,3739,24.42,8.58,35.14,2.99
229,2024-11-27,Holiday Follow Up,Tech Enthusiasts 18-45,150610,Tech Enthusiasts 18-45,12292,138318,21456,7522,7528,15.51,5.44,35.06,5.44
230,2024-05-20,Major Shopping Event,Frequent Buyers 35-50,51906,Frequent Buyers 35-50,3150,48756,7385,4717,805,15.15,9.68,63.87,1.65
231,2024-03-01,New Product Launch,Fitness Enthusiasts 18-40,148644,Fitness Enthusiasts 18-40,7879,140765,32751,15595,3687,23.27,11.08,47.62,2.62
232,2024-12-11,Loyalty Program,Tech Enthusiasts 18-45,55906,Tech Enthusiasts 18-45,3629,52277,11488,5277,749,21.98,10.09,45.93,1.43
233,2024-05-11,Sustainability Product Launch,Previous Customers,152501,Previous Customers,9838,142663,28373,13295,8497,19.89,9.32,46.86,5.96
234,2024-02-04,School Supplies Promo,Parents 30-50,112745,Parents 30-50,6368,106377,20189,6132,2720,18.98,5.76,30.37,2.56
235,2025-06-12,Loyalty Program,Fitness Enthusiasts 18-40,147430,Fitness Enthusiasts 18-40,14156,133274,36950,12544,7291,27.73,9.41,33.95,5.47
236,2025-06-01,Sustainability Product Launch,General Audience,182689,General Audience,12806,169883,28313,5175,6008,16.67,3.05,18.28,3.54
237,2024-06-03,Sustainability Product Launch,Previous Customers,99356,Previous Customers,5923,93433,15506,2904,5029,16.6,3.11,18.73,5.38
238,2024-03-24,Brand Awareness,Parents 30-50,74956,Parents 30-50,6324,68632,18290,4398,2518,26.65,6.41,24.05,3.67
239,2024-04-19,Holiday Follow Up,Seniors 55+,107710,Seniors 55+,6951,100759,17795,7618,4184,17.66,7.56,42.81,4.15
240,2024-12-17,Loyalty Program,Previous Customers,142123,Previous Customers,12629,129494,26578,6901,1757,20.52,5.33,25.97,1.36
241,2024-11-21,Fitness Gear Promo,General Audience,60656,General Audience,5046,55610,8528,4916,3024,15.34,8.84,57.65,5.44
242,2024-02-07,Holiday Follow Up,Seniors 55+,68206,Seniors 55+,3888,64318,16438,2565,4458,25.56,3.99,15.6,6.93
243,2025-03-14,School Supplies Promo,Previous Customers,81907,Previous Customers,5027,76880,20071,5771,3807,26.11,7.51,28.75,4.95
244,2024-09-14,Major Shopping Event,Shopaholics 25-44,137257,Shopaholics 25-44,9347,127910,22237,6948,2395,17.39,5.43,31.25,1.87
245,2024-03-30,Fitness Gear Promo,Tech Enthusiasts 18-45,188267,Tech Enthusiasts 18-45,12715,175552,41723,7639,1874,23.77,4.35,18.31,1.07
246,2025-05-19,Sustainability Product Launch,Tech Enthusiasts 18-45,72827,Tech Enthusiasts 18-45,6134,66693,19175,2625,526,28.75,3.94,13.69,0.79
247,2025-05-03,Beta Testing Launch,Young Adults 20-30,135760,Young Adults 20-30,12837,122923,29356,4088,1500,23.88,3.33,13.93,1.22
248,2024-03-19,Sustainability Product Launch,Environment Advocates,138683,Environment Advocates,7490,131193,30476,7867,6628,23.23,6.0,25.81,5.05
249,2025-03-04,Clearance Sale,Women 25-34,146449,Women 25-34,10689,135760,25871,4269,5440,19.06,3.14,16.5,4.01
250,2025-05-24,Holiday Sales Event,Parents 30-50,120376,Parents 30-50,11106,109270,25048,11550,6256,22.92,10.57,46.11,5.73
251,2025-05-06,Beta Testing Launch,Shopaholics 25-44,188753,Shopaholics 25-44,14946,173807,29753,7006,4139,17.12,4.03,23.55,2.38
252,2024-03-26,Beta Testing Launch,Environment Advocates,87052,Environment Advocates,5226,81826,21934,3141,4631,26.81,3.84,14.32,5.66
253,2024-02-10,Holiday Sales Event,Seniors 55+,97534,Seniors 55+,7313,90221,20648,4134,3699,22.89,4.58,20.02,4.1
254,2024-03-16,School Supplies Promo,Environment Advocates,79731,Environment Advocates,7906,71825,13501,7195,374,18.8,10.02,53.29,0.52
255,2025-03-28,Loyalty Program,Women 25-34,99206,Women 25-34,7915,91291,21434,4656,2145,23.48,5.1,21.72,2.35
256,2024-08-21,Fitness Gear Promo,Young Adults 20-30,66265,Young Adults 20-30,5527,60738,11001,3703,2062,18.11,6.1,33.66,3.4
257,2025-07-09,Loyalty Program,Frequent Buyers 35-50,77989,Frequent Buyers 35-50,6500,71489,18297,2920,3423,25.6,4.09,15.96,4.79
258,2025-04-01,Loyalty Program,Shopaholics 25-44,155450,Shopaholics 25-44,8237,147213,33296,14764,753,22.62,10.03,44.34,0.51
259,2024-02-24,Loyalty Program,Environment Advocates,172561,Environment Advocates,13700,158861,26456,7341,5456,16.65,4.62,27.75,3.43
260,2024-07-02,Beta Testing Launch,Tech Enthusiasts 18-45,146765,Tech Enthusiasts 18-45,11675,135090,31021,12430,5850,22.96,9.2,40.07,4.33
261,2025-07-04,Holiday Follow Up,General Audience,51652,General Audience,4148,47504,13656,5073,895,28.75,10.68,37.15,1.89
262,2024-02-10,Major Shopping Event,Seniors 55+,99719,Seniors 55+,6400,93319,25540,5627,773,27.37,6.03,22.03,0.83
263,2024-05-15,Major Shopping Event,Young Professionals 25-40,171449,Young Professionals 25-40,13186,158263,46262,13821,4549,29.23,8.73,29.88,2.87
264,2025-06-07,Beta Testing Launch,Frequent Buyers 35-50,62134,Frequent Buyers 35-50,3270,58864,10066,2990,3294,17.1,5.08,29.7,5.6
265,2025-07-08,Brand Awareness,General Audience,123856,General Audience,8154,115702,31924,5340,2074,27.59,4.62,16.73,1.79
266,2024-03-06,Sustainability Product Launch,Tech Enthusiasts 18-45,171380,Tech Enthusiasts 18-45,11583,159797,38402,10227,9753,24.03,6.4,26.63,6.1
267,2024-03-19,Fitness Gear Promo,Young Professionals 25-40,148515,Young Professionals 25-40,14326,134189,35810,9529,4220,26.69,7.1,26.61,3.15
268,2025-03-31,Sustainability Product Launch,Young Adults 20-30,173086,Young Adults 20-30,9776,163310,36364,15595,1674,22.27,9.55,42.89,1.03
269,2025-02-05,Brand Awareness,Parents 30-50,162694,Parents 30-50,11074,151620,31727,16690,6151,20.93,11.01,52.61,4.06
270,2024-04-25,New Product Launch,Women 25-34,64710,Women 25-34,3650,61060,9752,4285,3626,15.97,7.02,43.94,5.94
271,2024-12-09,School Supplies Promo,Frequent Buyers 35-50,134598,Frequent Buyers 35-50,7088,127510,24988,8769,4668,19.6,6.88,35.09,3.66
272,2025-06-03,Sustainability Product Launch,Women 25-34,181243,Women 25-34,16247,164996,28886,10510,5527,17.51,6.37,36.38,3.35
273,2025-01-21,Sustainability Product Launch,Environment Advocates,183973,Environment Advocates,9249,174724,34316,9062,1947,19.64,5.19,26.41,1.11
274,2025-06-06,Major Shopping Event,Tech Enthusiasts 18-45,114509,Tech Enthusiasts 18-45,7029,107480,20051,10648,7477,18.66,9.91,53.1,6.96
275,2024-02-25,New Product Launch,Tech Enthusiasts 18-45,134138,Tech Enthusiasts 18-45,11930,122208,28553,10850,620,23.36,8.88,38.0,0.51
276,2025-03-25,Holiday Follow Up,Young Adults 20-30,80393,Young Adults 20-30,7368,73025,14643,3551,4181,20.05,4.86,24.25,5.73
277,2025-04-07,Clearance Sale,Tech Enthusiasts 18-45,53735,Tech Enthusiasts 18-45,3092,50643,10275,4401,1167,20.29,8.69,42.83,2.31
278,2024-04-03,Clearance Sale,Parents 30-50,136172,Parents 30-50,12444,123728,21456,10471,6692,17.34,8.46,48.8,5.41
279,2025-03-30,Seasonal Discount,General Audience,155507,General Audience,11463,144044,21917,10491,10070,15.22,7.28,47.87,6.99
280,2024-04-20,Holiday Follow Up,Shopaholics 25-44,127737,Shopaholics 25-44,10465,117272,27972,12461,3412,23.85,10.63,44.55,2.91
281,2024-08-02,Fitness Gear Promo,Frequent Buyers 35-50,50049,Frequent Buyers 35-50,3373,46676,13014,4877,1039,27.88,10.45,37.48,2.23
282,2024-04-03,Seasonal Discount,Frequent Buyers 35-50,112200,Frequent Buyers 35-50,10630,101570,28632,9721,3725,28.19,9.57,33.95,3.67
283,2024-09-20,Fitness Gear Promo,Young Professionals 25-40,102089,Young Professionals 25-40,6790,95299,23970,9161,1361,25.15,9.61,38.22,1.43
284,2025-02-02,New Product Launch,Young Adults 20-30,97627,Young Adults 20-30,6425,91202,17598,4074,5410,19.3,4.47,23.15,5.93
285,2025-03-07,Sustainability Product Launch,Women 25-34,102945,Women 25-34,9678,93267,24868,5394,1294,26.66,5.78,21.69,1.39
286,2025-07-22,Brand Awareness,Previous Customers,67388,Previous Customers,3833,63555,11094,6260,3079,17.46,9.85,56.43,4.84
287,2025-06-12,Beta Testing Launch,Young Adults 20-30,188109,Young Adults 20-30,12675,175434,48836,13866,5117,27.84,7.9,28.39,2.92
288,2025-06-03,Beta Testing Launch,Fitness Enthusiasts 18-40,195670,Fitness Enthusiasts 18-40,19452,176218,52277,6821,5397,29.67,3.87,13.05,3.06
289,2024-08-01,Brand Awareness,General Audience,78948,General Audience,6769,72179,19982,7305,3391,27.68,10.12,36.56,4.7
290,2025-04-28,School Supplies Promo,Environment Advocates,167041,Environment Advocates,11781,155260,44808,7231,2002,28.86,4.66,16.14,1.29
291,2024-07-25,Brand Awareness,Shopaholics 25-44,165411,Shopaholics 25-44,8353,157058,39161,18055,6738,24.93,11.5,46.1,4.29
292,2024-03-30,Holiday Follow Up,Fitness Enthusiasts 18-40,189072,Fitness Enthusiasts 18-40,16690,172382,33766,12956,4168,19.59,7.52,38.37,2.42
293,2024-05-07,Clearance Sale,Parents 30-50,194576,Parents 30-50,14442,180134,36829,6544,10967,20.45,3.63,17.77,6.09
294,2025-03-27,Seasonal Discount,General Audience,55464,General Audience,4694,50770,9905,3079,562,19.51,6.07,31.09,1.11
295,2025-06-10,Fitness Gear Promo,Women 25-34,87635,Women 25-34,4869,82766,18191,9238,846,21.98,11.16,50.78,1.02
296,2024-09-12,Sustainability Product Launch,Young Adults 20-30,101983,Young Adults 20-30,9182,92801,27039,10880,3535,29.14,11.72,40.24,3.81
297,2024-06-05,Seasonal Discount,Previous Customers,181320,Previous Customers,10216,171104,39170,10096,6916,22.89,5.9,25.77,4.04
298,2025-06-11,Holiday Follow Up,Environment Advocates,90752,Environment Advocates,6145,84607,18051,5231,2868,21.34,6.18,28.98,3.39
299,2024-07-28,Major Shopping Event,Previous Customers,103449,Previous Customers,10138,93311,24561,5612,4638,26.32,6.02,22.85,4.97
300,2024-09-02,Seasonal Discount,Fitness Enthusiasts 18-40,112981,Fitness Enthusiasts 18-40,10752,102229,16098,4301,2272,15.75,4.21,26.72,2.22
301,2024-11-18,Clearance Sale,Fitness Enthusiasts 18-40,185992,Fitness Enthusiasts 18-40,10064,175928,44001,16793,4713,25.01,9.55,38.17,2.68
302,2025-07-17,New Product Launch,Fitness Enthusiasts 18-40,170973,Fitness Enthusiasts 18-40,15298,155675,23723,17966,10705,15.24,11.54,75.73,6.88
303,2024-05-04,Major Shopping Event,Fitness Enthusiasts 18-40,166302,Fitness Enthusiasts 18-40,15137,151165,43477,16247,1398,28.76,10.75,37.37,0.92
304,2025-04-15,Fitness Gear Promo,Parents 30-50,60708,Parents 30-50,5931,54777,13355,2668,2586,24.38,4.87,19.98,4.72
305,2024-03-12,Seasonal Discount,Previous Customers,137818,Previous Customers,7171,130647,34263,15285,9018,26.23,11.7,44.61,6.9
306,2024-11-21,New Product Launch,Parents 30-50,126377,Parents 30-50,12210,114167,26646,6619,5672,23.34,5.8,24.84,4.97
307,2024-08-04,Brand Awareness,Previous Customers,189907,Previous Customers,13439,176468,30236,8665,2934,17.13,4.91,28.66,1.66
308,2024-06-20,Sustainability Product Launch,Women 25-34,71305,Women 25-34,6215,65090,17707,4706,1568,27.21,7.23,26.58,2.41
309,2024-02-16,Loyalty Program,Seniors 55+,63671,Seniors 55+,5430,58241,11971,4867,2817,20.56,8.36,40.66,4.84
310,2024-02-07,Fitness Gear Promo,Frequent Buyers 35-50,139143,Frequent Buyers 35-50,12086,127057,28722,12711,5200,22.61,10.0,44.26,4.09
311,2024-04-05,Loyalty Program,Previous Customers,58761,Previous Customers,3491,55270,9483,3600,2921,17.16,6.52,37.96,5.29
312,2024-08-30,Seasonal Discount,Seniors 55+,122699,Seniors 55+,8542,114157,25229,4172,4596,22.1,3.66,16.54,4.03
313,2025-04-18,Holiday Sales Event,Young Professionals 25-40,91139,Young Professionals 25-40,6307,84832,20777,8016,1869,24.49,9.45,38.58,2.2
314,2024-06-23,Fitness Gear Promo,Young Professionals 25-40,151898,Young Professionals 25-40,8387,143511,23345,6808,9540,16.27,4.74,29.16,6.65
315,2025-03-12,Clearance Sale,General Audience,143031,General Audience,11313,131718,20678,5804,1220,15.7,4.41,28.07,0.93
316,2024-08-28,Major Shopping Event,General Audience,89359,General Audience,5022,84337,18894,3913,3884,22.4,4.64,20.71,4.61
317,2025-07-26,New Product Launch,Fitness Enthusiasts 18-40,90782,Fitness Enthusiasts 18-40,7624,83158,23671,4569,5529,28.47,5.5,19.3,6.65
318,2024-09-12,Beta Testing Launch,Young Adults 20-30,145453,Young Adults 20-30,8358,137095,36799,7104,4797,26.84,5.18,19.3,3.5
319,2024-02-04,Beta Testing Launch,Women 25-34,175377,Women 25-34,13354,162023,46793,10321,4998,28.88,6.37,22.06,3.09
320,2024-04-04,New Product Launch,Seniors 55+,53075,Seniors 55+,3193,49882,8494,5387,1588,17.03,10.8,63.42,3.18
321,2025-07-12,Clearance Sale,Young Adults 20-30,120241,Young Adults 20-30,9398,110843,24368,9058,6129,21.98,8.17,37.17,5.53
322,2024-11-05,Brand Awareness,Tech Enthusiasts 18-45,129233,Tech Enthusiasts 18-45,10533,118700,23314,6407,7740,19.64,5.4,27.48,6.52
323,2025-06-24,Fitness Gear Promo,Young Professionals 25-40,128145,Young Professionals 25-40,6776,121369,28063,4779,6724,23.12,3.94,17.03,5.54
324,2025-04-06,Holiday Follow Up,Previous Customers,168729,Previous Customers,10846,157883,35194,15857,2371,22.29,10.04,45.06,1.5
325,2025-03-27,Holiday Follow Up,Environment Advocates,185655,Environment Advocates,15525,170130,44979,19789,3506,26.44,11.63,44.0,2.06
326,2024-10-26,New Product Launch,Previous Customers,156311,Previous Customers,9403,146908,43483,11021,3847,29.6,7.5,25.35,2.62
327,2024-05-06,New Product Launch,Parents 30-50,105175,Parents 30-50,6014,99161,20951,11222,5479,21.13,11.32,53.56,5.53
328,2025-06-12,Clearance Sale,Young Adults 20-30,185094,Young Adults 20-30,9681,175413,44070,5601,11762,25.12,3.19,12.71,6.71
329,2025-03-22,School Supplies Promo,Environment Advocates,94975,Environment Advocates,9002,85973,14861,6731,452,17.29,7.83,45.29,0.53
330,2025-07-15,Brand Awareness,Young Professionals 25-40,198034,Young Professionals 25-40,17783,180251,53232,16418,3426,29.53,9.11,30.84,1.9
331,2024-08-27,Loyalty Program,Women 25-34,154105,Women 25-34,13013,141092,22097,5239,5000,15.66,3.71,23.71,3.54
332,2025-07-29,Beta Testing Launch,Young Professionals 25-40,81291,Young Professionals 25-40,4850,76441,16341,2770,3783,21.38,3.62,16.95,4.95
333,2024-11-26,School Supplies Promo,General Audience,81929,General Audience,6501,75428,16148,5083,2860,21.41,6.74,31.48,3.79
334,2025-04-23,Brand Awareness,Environment Advocates,137887,Environment Advocates,8093,129794,33039,5782,2982,25.46,4.46,17.5,2.3
335,2024-04-15,Clearance Sale,Seniors 55+,113809,Seniors 55+,6675,107134,26374,10915,5724,24.62,10.19,41.39,5.34
336,2024-06-08,Clearance Sale,Frequent Buyers 35-50,93200,Frequent Buyers 35-50,9286,83914,22695,6545,4358,27.05,7.8,28.84,5.19
337,2025-05-08,Holiday Follow Up,Women 25-34,140242,Women 25-34,8594,131648,30626,12359,7201,23.26,9.39,40.35,5.47
338,2024-12-09,Seasonal Discount,Parents 30-50,60093,Parents 30-50,3739,56354,13805,3337,3279,24.5,5.92,24.17,5.82
339,2024-07-13,Beta Testing Launch,Frequent Buyers 35-50,70764,Frequent Buyers 35-50,4066,66698,14120,3971,2663,21.17,5.95,28.12,3.99
340,2025-07-13,School Supplies Promo,Frequent Buyers 35-50,176666,Frequent Buyers 35-50,14525,162141,35364,15704,10097,21.81,9.69,44.41,6.23
341,2024-12-12,Sustainability Product Launch,Frequent Buyers 35-50,148586,Frequent Buyers 35-50,9960,138626,26473,8420,1646,19.1,6.07,31.81,1.19
342,2025-04-14,Sustainability Product Launch,Young Adults 20-30,132693,Young Adults 20-30,9022,123671,30728,6378,6051,24.85,5.16,20.76,4.89
343,2024-09-29,Clearance Sale,General Audience,80309,General Audience,6344,73965,20960,3542,3320,28.34,4.79,16.9,4.49
344,2024-03-31,Fitness Gear Promo,Fitness Enthusiasts 18-40,155579,Fitness Enthusiasts 18-40,11399,144180,42121,12672,3477,29.21,8.79,30.08,2.41
345,2024-06-23,Beta Testing Launch,Frequent Buyers 35-50,154119,Frequent Buyers 35-50,12041,142078,41906,8463,4584,29.5,5.96,20.2,3.23
346,2025-02-21,Seasonal Discount,Frequent Buyers 35-50,129795,Frequent Buyers 35-50,11278,118517,34343,9366,4042,28.98,7.9,27.27,3.41
347,2025-06-12,Holiday Follow Up,Young Adults 20-30,66777,Young Adults 20-30,4760,62017,13301,4613,371,21.45,7.44,34.68,0.6
348,2024-07-09,Loyalty Program,Young Adults 20-30,146194,Young Adults 20-30,14486,131708,24518,13211,1897,18.62,10.03,53.88,1.44
349,2024-12-29,Sustainability Product Launch,Fitness Enthusiasts 18-40,73258,Fitness Enthusiasts 18-40,6518,66740,12136,2613,2811,18.19,3.92,21.53,4.21
350,2024-11-26,Beta Testing Launch,Shopaholics 25-44,189379,Shopaholics 25-44,18521,170858,28978,14312,7685,16.96,8.38,49.39,4.5
351,2024-06-27,Sustainability Product Launch,Tech Enthusiasts 18-45,94455,Tech Enthusiasts 18-45,5815,88640,25023,3636,2776,28.23,4.1,14.53,3.13
352,2024-07-10,Holiday Sales Event,Young Adults 20-30,89610,Young Adults 20-30,7917,81693,19758,9502,1044,24.19,11.63,48.09,1.28
353,2024-03-30,Brand Awareness,Parents 30-50,65432,Parents 30-50,5743,59689,14432,4080,2243,24.18,6.84,28.27,3.76
354,2025-01-06,Brand Awareness,Shopaholics 25-44,68340,Shopaholics 25-44,6312,62028,11176,2555,2170,18.02,4.12,22.86,3.5
355,2024-10-22,Holiday Follow Up,Fitness Enthusiasts 18-40,99752,Fitness Enthusiasts 18-40,5061,94691,24821,4352,1785,26.21,4.6,17.53,1.89
356,2024-02-27,New Product Launch,Previous Customers,122567,Previous Customers,9682,112885,21001,12534,1919,18.6,11.1,59.68,1.7
357,2025-03-18,School Supplies Promo,Women 25-34,170284,Women 25-34,9323,160961,36795,18735,11141,22.86,11.64,50.92,6.92
358,2025-05-12,Sustainability Product Launch,Tech Enthusiasts 18-45,114839,Tech Enthusiasts 18-45,6475,108364,20974,6100,4223,19.36,5.63,29.08,3.9
359,2024-09-14,Holiday Sales Event,General Audience,173695,General Audience,13736,159959,29548,18118,1870,18.47,11.33,61.32,1.17
360,2024-06-09,Clearance Sale,Shopaholics 25-44,112897,Shopaholics 25-44,10431,102466,25101,6231,616,24.5,6.08,24.82,0.6
361,2025-06-15,New Product Launch,Young Professionals 25-40,88359,Young Professionals 25-40,5105,83254,19322,9954,3970,23.21,11.96,51.52,4.77
362,2025-01-09,Fitness Gear Promo,Tech Enthusiasts 18-45,82360,Tech Enthusiasts 18-45,7480,74880,17268,2418,2516,23.06,3.23,14.0,3.36
363,2024-08-07,Loyalty Program,Tech Enthusiasts 18-45,106166,Tech Enthusiasts 18-45,5945,100221,26732,8614,6522,26.67,8.6,32.22,6.51
364,2025-05-01,Holiday Sales Event,Parents 30-50,143121,Parents 30-50,13112,130009,31048,8433,5994,23.88,6.49,27.16,4.61
365,2024-11-20,School Supplies Promo,Environment Advocates,53770,Environment Advocates,4924,48846,13509,4943,2039,27.66,10.12,36.59,4.18
366,2025-04-10,Seasonal Discount,Young Professionals 25-40,156904,Young Professionals 25-40,10814,146090,25553,5765,9163,17.49,3.95,22.56,6.27
367,2025-04-22,New Product Launch,Tech Enthusiasts 18-45,78469,Tech Enthusiasts 18-45,4307,74162,17116,2861,4374,23.08,3.86,16.72,5.9
368,2024-08-02,Holiday Follow Up,Previous Customers,128293,Previous Customers,7725,120568,23229,13590,4110,19.27,11.27,58.5,3.41
369,2024-03-31,Holiday Follow Up,Previous Customers,130311,Previous Customers,12974,117337,30423,5513,5726,25.93,4.7,18.12,4.88
370,2025-03-27,Beta Testing Launch,Fitness Enthusiasts 18-40,110003,Fitness Enthusiasts 18-40,9088,100915,22627,5042,5793,22.42,5.0,22.28,5.74
371,2025-01-25,School Supplies Promo,Tech Enthusiasts 18-45,156592,Tech Enthusiasts 18-45,11131,145461,37691,7681,8493,25.91,5.28,20.38,5.84
372,2024-07-25,Major Shopping Event,Women 25-34,170143,Women 25-34,13611,156532,29465,15881,3702,18.82,10.15,53.9,2.37
373,2024-08-01,Holiday Sales Event,Frequent Buyers 35-50,111163,Frequent Buyers 35-50,8813,102350,21219,9178,3400,20.73,8.97,43.25,3.32
374,2025-02-25,Seasonal Discount,Young Professionals 25-40,173132,Young Professionals 25-40,13221,159911,45062,6775,2791,28.18,4.24,15.03,1.75
375,2025-07-25,Seasonal Discount,Frequent Buyers 35-50,166098,Frequent Buyers 35-50,10670,155428,43680,14630,1579,28.1,9.41,33.49,1.02
376,2024-07-18,Holiday Sales Event,Environment Advocates,168831,Environment Advocates,13404,155427,32927,14044,9805,21.19,9.04,42.65,6.31
377,2025-06-15,Sustainability Product Launch,Environment Advocates,91273,Environment Advocates,5584,85689,24152,6756,2523,28.19,7.88,27.97,2.95
378,2025-05-15,Loyalty Program,General Audience,157188,General Audience,12482,144706,30505,4930,2199,21.08,3.41,16.16,1.52
379,2025-04-19,Clearance Sale,Tech Enthusiasts 18-45,170360,Tech Enthusiasts 18-45,8793,161567,40837,4859,7358,25.28,3.01,11.9,4.55
380,2024-05-22,Major Shopping Event,Shopaholics 25-44,154369,Shopaholics 25-44,14012,140357,32711,7436,2206,23.31,5.3,22.73,1.57
381,2024-03-24,Beta Testing Launch,Seniors 55+,56819,Seniors 55+,4284,52535,12486,5785,641,23.77,11.01,46.33,1.22
382,2024-04-06,Clearance Sale,Environment Advocates,145192,Environment Advocates,10881,134311,27366,15865,1939,20.38,11.81,57.97,1.44
383,2024-03-29,Holiday Sales Event,Parents 30-50,111468,Parents 30-50,7255,104213,22487,8409,5675,21.58,8.07,37.39,5.45
384,2025-02-12,Major Shopping Event,Previous Customers,116318,Previous Customers,9318,107000,24944,9104,5849,23.31,8.51,36.5,5.47
385,2025-06-11,Brand Awareness,Seniors 55+,190109,Seniors 55+,18513,171596,31821,14060,4756,18.54,8.19,44.18,2.77
